topic,n_docs,share
14,2837,0.14185
3,1924,0.0962
7,1855,0.09275
9,1492,0.0746
17,1443,0.07215
11,1345,0.06725
2,1336,0.0668
8,1322,0.0661
12,1233,0.06165
0,1160,0.058
1,1148,0.0574
10,1016,0.0508
4,721,0.03605
16,336,0.0168
13,313,0.01565
15,266,0.0133
6,137,0.00685
5,116,0.0058
