topic,n_docs,share
10,9893,0.49465
4,9214,0.4607
6,139,0.00695
3,121,0.00605
11,103,0.00515
9,82,0.0041
12,79,0.00395
8,79,0.00395
5,74,0.0037
2,59,0.00295
14,53,0.00265
13,50,0.0025
0,27,0.00135
1,14,0.0007
7,13,0.00065
